Komentar,Klasifikasi
@pak_eko.s yaps bener .. malahan sy dikatain halu dan sok tau kalo ngasih tau chemtrails ini..?,NEGATIF
Yg kasih izin terbang pesawat chemtrail siapa ya?,NEGATIF
Apakah hal seperti ini tidak di selidiki dan dicek air hujan itu yg berbusa? Apakah tidak ada yg berani memeriksa air itu...bingung dah..biasanya hal? seperti hujan es dan aneh? cepat masuk berita di tipi?...kok ini gak ada diberita ya ????,NETRAL
Min saya posting ttg chems trail..... Langsung temen temen bilang " eh bu itu hoak kata TV one" lalu ku balas... "Masih percaya  TV media? " mereka jawab Khan medsos juga media ku jawab " medsos dan aku mana dulu yg bisa dipercaya dan ga",NEGATIF
@caemaulana varian covid pun sudah diset sampai varian gamma?,NEGATIF
@dhimasputraw sama di tempat aku bekerja dibilang aku termakan hoax.. Karena mereka dapat info di TV media... Hari gini mereka masih percaya TV media,NEGATIF
"chemtrails lewat di langit sebagian wilayah mekarsari cimanggis depok pukul 04.00 pagi tadi, mudah mudahan pada sehat aamiin ??",NEGATIF
@_teluuur_ chemtrails ini apa ya min kurang pham aku,NETRAL
Sumpah kaget! Baru tau ? bbrp hari kmren pagi2 kena hujan rintik2 eh tbtb sakit. Kirain karna kurang tidur karna begadang mikirnya. Ternyata oh ternyata,NEGATIF
@restunizati11 hujan efek chemtrails di Bandung a restu,NEGATIF
"@cekli_alkarim_lbs usahakan jgn sering kena hujan,, ?",NEGATIF
@eswwee_ iya kalau hujan alami dan normal itu airnya bersih dan bening gak ada zat putih didaerah saya udah kayak gitu ada zat putihnya,NEGATIF
"@adira_zakaria hatihati dijalan, baba.. kalo sehabis hujan..",NEGATIF
@honeynci  nih berbusa,NEGATIF
Lalu sbgai masyarakat harus gimana... Gak bisa di larang juga.. gak bisa di antisipasi juga si chemtrails-nya ??,NEGATIF
Mau tau bahaya tu pesawat dan mobil yang mondar-mandir. Tulis di YouTube "ini bahaya disinfektan". Dijelaskan dgn Gamblang. @_teluuur_,NEGATIF
"Sukanya bikin rakyat sengsara, mengheran akutuh,",NEGATIF
Lurr apakah ini akan jadi pembunuhan massal?,NEGATIF
2 hari yg lalu depok air hujannya kuning @_teluuur_ .mau foto lupa?.. setiap hari hujan.. dan ada si helikopter mera+putih mondar mandir mulu terbang rendah (suka hitungin helikopter mondar mandir sm anak)?.. tp yg sering si merah..,NEGATIF
Ngeri ya bang ??,NEGATIF
Tadi pagi di bandung cerah banget ga lama sekitar jam 7 ada chemtrails dan ga lama udh mendung aja tuh langit....,NEGATIF
Sudah mulai gencar yaa..untuk proyek gel.3 nya...,NEGATIF
Cirebon emg rajin bgt sih..ak pin sedang tdk enak badan,NEGATIF
Semoga selalu dalam lindungan Allah subhanahuwata'ala untuk seluruh penduduk Indonesia.. Aamiin,NETRAL
"@dyahhartika wow helikopter nya warna merah, Mba?",NEGATIF
"@fabilskin.bekasi iya merah yg paling sering mondar mandir.. ad yg putih jg. Mungkin lgi mantau keadaan aja kali yaa.. sya kurang ngerti jg soalnya.. bolak balik mulu di atas rumah. Jadi anak suka liatnya. klo lg di dlm rumah aja, suka lari2 keluar pas denger suara helikopter/pesawat jg??",NEGATIF
Kaum2 pecinta fucksin tetap aja mangkelll,NEGATIF
@achmadibrahim_123 Jakarta juga bang,NEGATIF
"@dicky.sfn sampe sekarang masih ada dong , njer gua pikir udh ga ada",NEGATIF
Knapa kita diam saja lawaaannn...,NEGATIF
Emang ada climate change ya,NETRAL
pemerintah ingin sekali rakyatnya pada sakit,NEGATIF
"Di manado juga ada min. ? Pengen punya senjata min, pengen nembak?",NEGATIF
mau kirim video chemtrails kemana min?,NEGATIF
Kan polusi udara rusak gara2 die... Kenapa kendaraan yang di salahin... Sampe ada uji emisi... Kalo kaga bakal ditilang?????,NEGATIF
Kmarin pagi di sidoarjo juga?????,NEGATIF
Yukkk COPID TAHAP 3 YUK ??,NEGATIF
Kemaren2 pas pulang kerja malem (pagi hari) di Ckp & Pwk juga kelihatan jelas banget ada.. Dan masih aja ada yg percaya klo itu jejak asap pesawat terbang.. Mungkin mereka memang belum tau aja klo jejak asap pesawat itu gak akan berbekas sampe ber jam jam.. ??,NEGATIF
sudah ketahuan gini juga masih pada buat covad covid gak jelas,NEGATIF
"Hari rabu malam kemaren palembang di guyur hujan deres banget bang 1jam lebih lah. Pas hari kamis pagi nya banyak daerah di palembang yg kebanjiran termasuk rumah ortu ku. Sekitar jam 6 pagi aku iseng2 liat langit sama anak ku niat nyari pesawat malah liat garis chemtrails. Kamis sore hujan rintik2 sampe malem , jumat siang nya hujan deras . Ngeri bang",NEGATIF
"Pantesan Indramayu gerimis dikit2 banget, smp kpn Pemerintah racuni rakyat dn alam?",NEGATIF
Untuk yg berada di daerah jaktim khusus nya rawamangun . Masih suka muter muter itu ? putih nyemprotin chemtrails diliat nya tipis. Abis itu mendung. 3 hari lalu liat lagi lewat daerah situ,NEGATIF
mgkin bakal naik lagi kan menjelang desember liburan akhir tahun + tahun baru.. ???,NEGATIF
Semarang sehari bisa belasan kali disemprot lur heran aja pada nganggep biasa aja bahkan sampe dicap anak konspirasi gue cuman batin ya emang wkwkwk elu nya aja yg bebal nggak mau membaca situasi dan termakan propaganda media,NEGATIF
"Negara Indonesia kelihatan sudah Makin Kacau Balau sekarang , Kemana kah TNI sekarang yang katanya dulu bersama rakyat ?  @prabowo @kemhanri",NEGATIF
"Daerahku itu min, sering bgtt, daerah panturaa",NEGATIF
Genosida terselubung,NEGATIF
"@ayarisa62 desinfektan di semprotkan dari udara? kalau di pikir pake akal, buat apa? ??? alibinya g masuk",POSITIF
Ini kapan lur kemaren gua juga liat di rest tol cikampek pas banget balik dari pekalongan,NETRAL
"Di klaten juga sama min saya liat sendiri tapi saya lupa videoin, termasuk saya yg kena ?",NEGATIF
Tadi sore di Sidoarjo min ada kek gtu panjang banget,NEGATIF
Wah kampung ane nih,NEGATIF
Dan sore hari dikota slawi min gk jauh? amat dri peklongan smpai mlm itu chemstrail gk ilang? tadi dan ad awan yg udh ngebentuk aneh gitu trs wrna orange,NEGATIF
Pantura ludesss kek gitu mulu tiap Ari karang,NEGATIF
"Waktu Sabtu kemaren juga di Indramayu ada cemtrail, mlmnya bdan gua pegel"" semua, pdhl aktfts biasa aja, smpe gak bisa tdr gegara capek"", kyk meriang gak jelas gtu??? hri ini minggu sore udh agak mendingan, dan itu bukan gua aja yg rasain..",NEGATIF
Cek DM min tmpt gue barusan jam stgh 6 chemical trial lewat,NEGATIF
"Kasus aktif covid saat ini sebenarnya menurun dari 0,09 menjadi 0,05 (berdasarkan kasus aktif dibagi jumlah warga Indonesia). Tapi entah mengapa masih banyak yg getol menjadikan wabah ini untuk ajang bisnis. Semestinya Indonesia sudah bebas aturan pepekaem.",NEGATIF
Nah balakan mulai naik lagi angka koped.. ?,NEGATIF
"Kmrn dbumiayu,malamnya hujan ringan. Pdhl sore terang",NEGATIF
@ayarisa62 IYA BAHAYA?Anenh nya tetep dibiarin wkwkwkwkwk,NEGATIF
Harusnya seputaran istana dulu di chemstrail nya. Biar sekitaran situ sehat duluan...,NEGATIF
"Bang @_teluuur_ coba riset mengenai alat orgonite, katanya bisa menghilangkan jejak chemtrail di udara.",NEGATIF
"KALO INI DI JKT , KMREN ITU ADA DEMO JET TEMPUR DAN SUKHOI NGELUARIN FLARE BUKAN CHEMTRAIL SOLANYA LIAT DARI JEJAK ASAPNYA BEDA TOLONG LUR CEK LAGI @_teluuur_",POSITIF
"@front_pembela_instafakta  apapun itu, yg jelas mencemari udara dan tdk baik utk paru2",POSITIF
Apa karna sebentar lg hari raya islam (maulid nabi) soalnya selalu aja tiap hari raya rame deh ppkm deh segala digeser lg tanggal merahnya ?,POSITIF
Terus saja menyemburkan chemtrail diudara. Supaya dianggap varian? rasa baru ??. Pdhal chemtrail biang keroknya.,NEGATIF
@endin.mr.kampret nah ini masuk akal sih.. makanya sy sempet 50:50 percaya kl yg satu ini chemtrails soalnya bersamaan dgn persiapan ultah TNI,NEGATIF
"Anj skrg dingin bngt di toko bogor, perbatasan jkt. Yang biasanya panas jarang dingin kaya gini",NEGATIF
Jettrail become chemtrail directly sicktrail..,NEGATIF
"Sekarang emang bentuknya gk nemanjang,  daerahku ky gitu juga min @_teluuur_",NEGATIF
Bro itu lagi latihan hut TNI. Ni link nya : https://www.instagram.com/p/CUjXUc-j_x3/?utm_medium=copy_link,POSITIF
@lheagrass lagi latihan hut TNI mbak,POSITIF
Buat persiapan liburan akhir taun biar stay home,NEGATIF
Bisa jadi nihh.. Siap siap,NEGATIF
Chemstrils,NEGATIF
"@lheagrass di Kabupaten Cirebon juga sama, kayaknya mereka patroli dari atas untuk tau area mana yg banyak kerumunan.",NEGATIF
Bekasi pesawat muter2 mulu tanpa arah dan tujuan ?,NEGATIF
Gini amat ya dunia sekarang?,NEGATIF
Daerah mana ni?,NEGATIF
Knp pihak tni tdk bertindak mengecek ini apaan,NEGATIF
"Inilah cara rejim untuk membayar hutang indo, melalui mega proyek instansi kesehatan. Semakin banyak yg sakit makin banyak uang masuk untuk membayar hutang, selain melaluin pajak.",NEGATIF
Pan mau Hari ABRI.....latihan buat parade,POSITIF
"Ayok bikin #EcoEnzyme , lawan chemtrail dgn EcoEnzyme",NEGATIF
Mungkin itu asap dari Surga.. Yang di tabur oleh para Malaikat..,NETRAL
Itu yg disebut sebagai korona kah ???,NETRAL
kyk kiriman rudal balistik,NEGATIF
knp gak tetesan hujan busa chemtril nya itu diambil sample di tes gtu,NETRAL
Itu ulah siapa sih? Kok ya didiemin aja? Apa sengaja?,NEGATIF
"Kemaren di daerah ku awan nya kotor , putih sih awan nya tapi pinggiran nyah hitam jadi kek kotor gitu padahal engga mendung engga hujan , kenapa tuh ?",NEGATIF
Biadab ini! Dikira kekuatan jahat manusia tidak akan terkalahkan!  Mudahan  Allah segera turunkan azab buat penyebar racun ini,NEGATIF
Wah rakyat tdk aman,NEGATIF
"Separah ini, makanya hewan2 pun pada mati ya?",NEGATIF
@areevetocrat tanda2 akhir zaman,NEGATIF
@andri_bachtiarf ohhh habis hujan saya sakit tenggorokan sma mual gara2 ini toh,NEGATIF
Cuma posting chemtrails chemtrails aja lu min. Coba sekali sekali posting hasil uji lab yg katanya cairan chemtrails yg berbuih dijalanan habis hujan. Bikin video detail nya dari ambil sampel langsung sampai penelitian di lab. Jangan posts foto-foto doang min. Kasihlah data yg valid yg gk mungkin dibantah sama pemuja covid ? dan jangan anggap saya pemuja covid ya. Saya juga masih sangat gk percaya sama covid ini,POSITIF
@_rickyfirdaus_ wajib dibongkar ini.. @matanajwa,NEGATIF
@dewarajendraa ditunggu ni penjelasannya,NETRAL
"Biar pada sakit, trus di test covid lalu vaksin dah bari ?",NEGATIF
Di Lumajang udah keliatan yg kayak gini,NEGATIF
Karena orang desa terlalu percaya sama natural immunity. ? tidak seperti orang kota yang berbondong-bondong dalam kebinasaan. ? makanya disemprot chemtrails biar percaya pirusnya ganas.,NEGATIF
racunin ae trus wkwk,NEGATIF
Merubah cuaca?,NEGATIF
"Hukum, media, ekonomi, kesehatan, militer dia yg punya. Gda yy tersisa utk kebenaran.",NEGATIF
"Di Amerika, Petani dapat surat dari pemerintah.. Musnahkan Ladangnya  sendiri, atau Pemerintah yang akan nyebarin bahan kimia diatas Ladangnya?Musnahkan sendiri = dibayar. Di TikTok Banyak tuh?",NEGATIF
njir daerah petekeyan kartini sangat sedih melihat ulah nakal penerusnya",NEGATIF
@sinkron_779 cuan 1000x lipat selama plandemi,NEGATIF
Karna tinggal daerah yg belum full dosis fucksin di enjuskan? jadi cuan macet gak beranak lagi?.,NEGATIF
Harusnya di rudal tu pesawat,NEGATIF
"Biar targetnya cepat tercapai mungkin min, jadi nanti kan bisa cepat meroket, ya kan ya kan ...?",NEGATIF
"Permisi sedulur semuanya, mau nanya yg nyebarin chemtrail pesawat jenis apa?",NEGATIF
"@tiosaputroo Jangan beli dulu, takutnya kalo salah sasaran gimana, cara mengidentifikasi sasaran yg tepat gimana. Pesawat yg melintas diatas langit tempat kita berpijak, bisa ditrack pake aplikasi flight radar.",NEGATIF
"@_teluuur_ mohon ijin diskusi,ngga hanya diatas ketinggian 10.000 ft min.",NEGATIF
Salah satu contoh yg bikin org sakit trus dibilng varian baru dan copat copeeet @widha.wida,NEGATIF
Pelakunya spa ya?,NEGATIF
@tiosaputroo jelas keliatan bgt pesawat kemtraill pakai baling2 n terbang rendah bolak balik ga jelas,NEGATIF
@julia_oloan_siregar di jakarta seringnya subuh fan sesekali siang,NEGATIF
Ini kali arahnya biar sawah juga ga produktif ya?,NEGATIF
@propolis_madu klo sebelumnya ada chemtrail atau chemcloud kenapa nekat hujan2 pak? Paling ga kan bisa waktu hujan awal2 menepi dl. Kan kata bapak yg mengandung bahan kimia itu cuma hujan yg awal2 saja.,NEGATIF
@propolis_madu klo chemtrail baunya seperti apa pak? Kapan pertama bapak mengenali bau chemtrail? Apa teluuur menjelaskan bau chemtrail itu seperti apa?,POSITIF
"@propolis_madu iya kah pak? Bagus klo ada yg bisa membuktikan adanya chemtrail n kandungan apa di dalamnya, jadi obyektive.",POSITIF
"@propolis_madu tapi doain gw juga moga jan sampe ada chemtrails, parah parahnya jatuh sakit pula, tapi ini dia mau banget keknya ada chemtrails, heran???",NETRAL
"@mash_iroshiina gampang saja kok bu klo takut saya tidak jujur, tinggal ibu antar sample chemtrailnya ke lab sucofindo terdekat dari rumah ibu. Ibu yg ambil sample, ibu yg antar ke lab , nanti saya yang bayar biayanya langsung ke rek lab trus nanti hasilnya ibu yg ambil.",POSITIF
@mash_iroshiina ibu sudah pernah lihat chemtrail?,NETRAL
"@dakihandiyu sy sih ngga butuh uji lab, lha wong panca indera sj sdh melok2 bs ngerasakan. Silakan sajalah mau uji lab,  mau membuktikan secara ilmiah. Yg jelas efek itu ada . Namanya chemtrail atau apa saja, yg jelas efeknya terasa di mata,  tenggorokan,  kulit. Dah gt saja. ?",NEGATIF
@yayan_hapsari jadi chemtrailnya yg nyebar siapa bu?,NETRAL
@yayan_hapsari ooohhh...emang chemtrail tu apa bu?,NETRAL
@yayan_hapsari ooo..jadi chemtrail itu cuma ada buat orang2 tertentu aja ya bu?,NETRAL
Dtmpt sy juga gitu d kalsel kmren mlhn  2 pswt ny mnyilang dr awal. Y beriringn mn rendah bgt pula,NEGATIF
Tapi emang bner sih di serang pun pagi ini cuaca berkabut,NEGATIF
Cuaca semberaut? kadang dah mau turun hujan pun bisa ga jadi?,NEGATIF
Sudah ordenya baper. Kerjanya bikin sakit rakyat. ? Mantep.,NEGATIF
Chemical trail. Bali tangerang jambi bekasi surabaya medan dll,NEGATIF
??? semoga yg berniat segera diberi hidayah,NEGATIF
@_teluuur_ kok sm? aq jd sering pusing,NEGATIF
Kata anakku liat penampakan garis di langit waktu dia main bola tinggal kita didepok dan 2 hari ini udara dingin mendung hujan cm sebentar tp alhamdulillah sih blm heboh berita orang pd kena flu dan batuk Mudah"an ga ada lagi yg positif,NEGATIF
Akibat 1 jakarta kentut kah?,NEGATIF
Separah itu kah polusi jakarta?,NEGATIF
"Mendarat dimana ye tuh pesawat, pingin gue samperin",NEGATIF
"Surabaya jugain, semenjak ppkm berjilid ini bahkan sebelumnya pun sudah mulai kelihatan langitnya abu2. Saya sempat dm bmk juanda surabaya jawabannya pun hanya awan. Pdhl setau saya awan itu putih, bahkan kabut juga putih. Andaikan kalo beneran awan, selang beberapa jam pasti akan hilang terseret angin ini malah tidak. Aneh bin ajaib",NEGATIF
"Paru2 gua sakit akibat chemtrails kmrin , aslii",NEGATIF
Asli bikin tenggorokan serak dan batuk,NEGATIF
"Bakal terus ada varian baru tp langit bakal jd kabut, lama-lama matahari ga keliatan??",NEGATIF
Request chemtrail nya bisa di sekitaran gedung DPR dan istana negara saja gak ? .,NEGATIF
"Chemtrail telah membuat saya dan keluarga saya jadi kena batuk, flu dan pilek, bahkan ada keluarga saya yang sebagian sakit karena angin dan lambung juga min ?",NEGATIF
Kangen jaman old. Udaranya segerr ?,NEGATIF
Jadi sesak nafas akhir2 ini?,NEGATIF
lah chemtrail tiap hari gimana gak rusak itu lingkungan. gt nanti rakyat yg disalahin katanya gak nurut pemerintahnya. gimana mau nururt kalo mereka aja yg kita percaya gak amanah.,NEGATIF
"@ponyvore_ bekasinya mana ka? Sama ini .. saya jg nafas di hidung kayaknya berasa ga enak aja udaranya terasa beda .. bkin perih di hidung dan mata, anak2 jg lagi pada batpil ini .. bkin kepala puyeng sampe ke mata2 kedutan puyeng gitu .. ?",NEGATIF
"@altfatawi99 iyaa betul .. malah skrg sejak vaksin disebar, chemtrails jg disebar",NEGATIF
"Eh iya gw ngerasa di Malang minggu kmarin udaranya kek ga beres gt.. masa gw batuk2 ga selese2? Meskipun minum obat sirup batuk, batuk masih ada aja? Makanan gorengan pun jarang.. tapi untuk kmarin n hr ini gw rasa udaranya lumayan bagus, langit mulai kliatan cerah meskipun ga seberapa.. batuk jg mulai pudar menuju tahap sembuh.. waktu habis pagi setelah subuh itu smua awan2 warnanya mendung kelam bgt tapi ga hujan smasekali.. langit itu ga ad yg warna biru, skrg udah mulai kliatan ad warna birunya..",NEGATIF
"Jangan nyebar hoax min, di keadaan seperti ini jangan malah saling memprovokasi (bismillah direktorat Pertamina)",POSITIF
Bener bgt ini... bukan jakarta aja depok juga ud kaya gini udaranya,NEGATIF
@nd_rahayu setiap saya mau berangkat kerja tadi pagi saya lihat garis 3,NEGATIF
"Gw heran knp cm admin tellur ya yg speak up soal chemtrail ini, sedangkan yg laen diem2 aja.  Pdhl dilihat dr bukti2 nya dah jls bgt ?",NEGATIF
memang sengaja kita ne mau dobuni,NEGATIF
"Bahkan di kampung, dari sbulan lebih yg lalu sya blm prnah melihat lagi langit cerah dgn warna biru murni nya min. Saya jg jd curiga sama chemtrail yg sengaja di sebar.",NEGATIF
sejak bulan juli ane sakit batuk ga sembuh2.... penciuman juga belum normal nih... gara chemtrails,NEGATIF
"Kalau jakarta sih bukan karna chemtrails, coba cek disini ketik ulang manual aja ya ini link menuju ke @greenpeaceid https://www.instagram.com/p/CTmCUBDF_Qt/?utm_medium=copy_link",POSITIF
Min pohon? yg rimbun Dan banyak apa bisa meminimalisir udara yg Kotor akibat chemtrail?,NEGATIF
Asli Dzalim beud,NEGATIF
"Kalo ada penampakan cepet cek di aplikasi Flightradar24, kalo gak ada terlihat penampakan flight internasional, patut di waspadai",NEGATIF
"Satu kata * lawan mereka * , emang kita kuat  rakyat bersatu",NEGATIF
"Kalau ini Contails,tidak mungkin serendah ini. Di tempat saya dulu wakti kecil  sering muncul contrails tapi dngam ketinggian yg sanggat tinggi. Kalau ini masih sngat rendah.",NEGATIF
"Kemarin waktu hari senin & selasa di tempat ku klaten jawa Tengah keliatan jelas banget pesawat terbang rendah dari arah bandara adi sumarmo & adi sucipto, dan bener sekarang banyak yang sakit batuk pilek",NEGATIF
"Diprotes dicap melawan, kan jancokkk",NEGATIF
Tembak saja ?,NEGATIF
Asli dah klo udh mengendap di dlm idung baunya kya campuran solar sma minyak tanah klo hirup nafas dlm2.. Itu yg w rasain sblm kna anosmia akhir juni kmren.,NEGATIF
@haidar.pray selama fcuksin msh diproduksi ya akan terus ada.. Nma'y jg org dagang,NEGATIF
"Sebarkan racun tiap hari, virus yg disalahin.,, Begonya luar biasa",NEGATIF
Di boom kapalnya,NEGATIF
"Kalo pengen cepet ilang baunya, lakukan cuci hidung dengan larutan garam 1% (garam krosok)",NEGATIF
Kalo ada chemtrail.. Segera selamatkan keluarga terutama anak jangan keseringan di luar rumah.. Begitu juga kalo punya hewan peliharaan..,NEGATIF
Dapat perhatian nieh yeeeee lgsg kirim Chemtrails hadeehhh Indonesia ouhh Indonesia?,NEGATIF
"gue akhir akhir ini agak sesek dada, anjg apa ada hubunganya sm ginian ya.",NEGATIF
Selamat meracuni udara ?,NEGATIF
Viral kan saja video ny teman"... semoga kasus ini cepat terungkap...om namah siwah om....,NEGATIF
"@adiroses iya ada di metro tv, brrti itu ya, apa gak mikir itu tentara dapat meracuni warga dengan alasan membasmi covid",NEGATIF
"mungkin para ahli itu berpikit bhw virus menyebar melalui udara, jadi udaranya disemprotin disinfektan ??",NEGATIF
"@erwinm4u mungkin pemikiran nya sama kyk pemadam kebakaran yg semprot disinfektan ke jalan jalan, mereka tau nya cuma jalankan tugas aja",NEGATIF
@melatileonyta militer...buka YouTube ada video pas semprot nya ketik Bangkalan Disinfektan,NEGATIF
Dilaporin / di stop bisa gak sih?,NEGATIF
Gini amat ya sama rakyat sendiri ?,NEGATIF
Sebenarnya siapa sich yg bawa pesawat? jahannam itu?,NEGATIF
"Kok sama ya, semenjak dibulan juli kemarin hilang penciuman, setelah ada garis putih bekas pesawat lewat kek nya. Beberapa ja kemudian langsung hujan panas, kerasa ga enak banget badan. Besok nya langsung hilang penciuman. Sampe 2mingguan hilang nya, setelah itu udh mulai bisa cium2 aroma yg enak2, yg belum bisa bau2 busuk, kek lagi boker ga ke cium sama sekali???
Dan tiap hari kecium aroma minyak tanah, padahal ga ada tumpahan minyak tanah. Aneh bukan ?",NEGATIF
Tujuan nya melakukan itu apa sih?,NEGATIF
"@khairu.hana kan media sudah dikuasain semua ka, mana mungkin yg kayak gini diliput ..",NEGATIF
"Makanya kan kata bu siti ""virusnya ada, tapi direkayasa penularannya dan direkayasa keganasannya"" sampai sini udah jelas laah di rekayasanya melalui apa ... tp orang indo mah ga sadar2 ?? ngeshare ginian malah gw dikira gila alias budak konspirasi ??",NEGATIF
Skr lg gencar" nya dluar pulau jawa ya min..????,NEGATIF
Yang pilotnya gak takut kena azab yah?,NEGATIF
Jika di daerah kalian bulak balik heli waspada,NEGATIF
Astagfirullah ternyata bener yah disebar melalui udara???@bundaelliarosatielman  @dinda.pp @fathulw,NEGATIF
"Hari ini, senin 18 Oktober, Surabaya Sidoarjo mendung banget , mau hujaaaan, ngeri?",NEGATIF
Dari dulu kayaknya jarang begini ya. Semenjak coro saja.,NEGATIF
"Tepat nya pas mau hari raya Islam,, selalu begitu?",NEGATIF
Siang ini lgsg hujan Sidoarjo,NEGATIF
"Gausah soujon, gua anti covid tapi menurut gua, itu virus hidup yg buat ngancurin virus yg diudara",POSITIF
Persiapan launching Varian idiot dan efek KIPI vaksin di musim pilek. Pandemi chemtrail dan pandemi vaksin !,NEGATIF
"Langsung ujan nanggung di surabaya
Gk deres sama sekali, posisi td ane di luar kena ujan
Semoga gk ada apa???????",NEGATIF
"Wah, ini abis chemtrails, surabaya lgsg pada ujan deres. Gila bener ini",NEGATIF
"Kemarin malem  solo hujan ,  habis hujan  pinggiran  aspal air kaya ada bekas sabun  seperti busa sabun, , , itu merata  setelah aku amati",NEGATIF
"@wahyhhh mungkin itu yg disebut modifikasi cuaca agar hujan ?, Karena musim kemarau ... Koreksi bila salah ...",NEGATIF
"Terus hujan tadi min depan rumah, air nya kayak ada busa busa nya",NEGATIF
Sebenarnya itu pesawat apa sih yang nyebarin kimia? TNI AU bukan?,NEGATIF
apakah chemtrails bisa membuat munculnya sakit kulit seperti bruntusan agak besar dan bernanah?sy abis keujanan muncul seperti itu..,NEGATIF
Wajib pake masker kalo keluar rumah,NEGATIF
@badkid.dg @sandidikykurnia huhuy plandemi jilid 3,NEGATIF
? hari sabtu sore itu di gempur beneran.. langit yang dari pagi biru cerah sekali eh sorenya kena guyur bertubi-tubi...,NEGATIF
"Anak gua batuk"" lagi padahal barusan sembuh,? Surabaya udah 3 hari ini liat chamtrails tiap pagi",NEGATIF
"Lha iyalah ada contrail, di surabaya tadi sore hujan.. kondisi bikin exhaust engine terbentuk kondensasi. ???.. kalaupun ada chemtrail, passenger airplane turbofan gimana metode nyebarnya.. ??",POSITIF
"kondisi contrail muncul jika udara dingin (salah satunya mau hujan). Kondisi mau hujan mendukung munculnya contrail, bukan karena contrail muncul hujan. ??",POSITIF
"@ni_zaar17 ikan mati, tanaman hias yg mati itu di mana? Apakah dr admin telur pernah mengangkat berita itu? Jgn cuman share kiriman video orang dengan menjelaskan ada ujan kimia namun imbas dr ujan itu tidak ada kelanjutan nya.. yg paling deket saat HUT angakatan Udara. Jelas bagaimana admin telur berucap. Kita liat aja dr postingan ini , apakah akan ada kelanjutan nya.",POSITIF
aq kok dr kecil udh sering liat kya gtu.. emng itu udh ada dr dlu klo pesawat lewatin awan.. kadang ada yg ninggalin jejak putih kya gtu..,POSITIF
"@cak.beqi saya ada video yang Sabtu kemarin ada bareng pesawat komersil lewat, chemtrailnya juga lewat",NEGATIF
"@devicexy beda, kalo cuma bekas pesawat itu lama2 memudar ilang,, kalo ini tama2 tambah melebar kayak jadi awan,, ada postingan sebelumnya di akun ini,, tp kayaknya udah lama mgkn di akun yg udah ke baned",NEGATIF
Gimana ini kita bisanya hanya diam diracun tiap hari,NEGATIF
Siap2 drama PPKM level jeletot desember euy..kuy,NEGATIF
@tsm_hehe ya Allah ? ada efeknya gk di hidung atau tenggorokan?,NEGATIF
"@tsm_hehe kl gitu bener apa yg aku alami. Hidung kayak kena obat hbis netesin obat mata, dahak yg dr hidung kadang ada bercak darah, bibir meski minum byk tp berasa kering mulu. Gk nyaman kl puasa ?? ya Allah smpe kpn ini?? ??",NEGATIF
@tsm_hehe sdh aku sisihkan 1 sujudku setiap shalat utk mendoakan pemimpin? dzalim agar negri ini bersih dr mereka?? ya hayyu ya qayyum,NEGATIF
"? Corona Gelombang ke-3 versi Chemtrails. ? Kalau bisa didesa saya jangan lagi deh, masa 1 kecamatan sakit semua, dari pagi sampai malam cuma denger suara orang batuk ? uhuk! @mde_patricio @ntt.update @kupang.now @bem_undana.official",NEGATIF
@antonrvp iya bener nyebarnya pas siang? pula?,NEGATIF
TNI ANGKATAN UDARA,NEGATIF
"Kabut asap yg nyata ""dukhon"" yg menyelimuti seluru bumi dimana2.. yg beriman hanya mengalami flu biasa.. yg beriman pada dunia suluruh badannya panas,, kulitnya melepuh.. tau kan yg beriman pada dunia?",NEGATIF
Wah di tempatku 3 hari terakhir ada pesawat lewat malem"...padahal biasanya gk pernah ada...apa mungkin  chemtrails juga ya...???,NEGATIF
Sama nih.. Di jakarta timur juga gitu.. Kucing2 sy  n yg liar di perumahan sy pada pilek bengek  semua.. ????... Capeee sy bolak-balik ke klinik hewan buat ngobatin mereka.... ??.. Biadab banget ya sampe ke hewan pun kena imbasnya juga..,NEGATIF
Maaf min chemtrail ini berupa disifektan atau berupa cairan kimia bahaya?,NEGATIF
"Waktu PSBB langit masih biru, saat PPKM langit abu?",NEGATIF
Komplek aparat lebih aman,NEGATIF
Pencemaran udara dan paksin,NEGATIF
"@suhailah.habsyi  sama.. aku 3 bln trakhir ini juga iya.. aplgi klo batuk, lamaaaa bgt sembuh nya",NEGATIF
Di paksa mati d negri yg sakit,NEGATIF
Kucing w ga sembuh2 pilek,NEGATIF
"Pantesan langit di Klaten Jawa Tengah yg biasanya langit biru + dingin ehh sekarang mendung terus panas, padahal desa bukan kota, taun 2019 langit selalu cerah, sekarang berawan terus ?",NEGATIF
kita dipaksa sakit dong... ?,NEGATIF
"Ini sama banget, kucing2 yg suka kerumah pada pilek semua, mana sekarang anak saya juga ikutan pilek ?",NEGATIF
Di gunung putri udah 2 hari ini mendung min.. aku dan bocil pd batuk pilek.. tetangga2 juga.. ?,NEGATIF
@_teluuur_ orang sehat dipaksa sakit di negeri yg sakit??,NEGATIF
"@kian_salam11 bener tumben?an gitu sakit sembuh bbrp hari sakit lgi panas demem pilek juga, padahal bisa di bilang jarang sakit",NEGATIF
D kampung ku tiap desa kematian sangat banyak. Paling parah bulan july ? sangat aneh dari kemunculan pesawat kentut asap ?,NEGATIF
@poeianabul padahal kucing liar ini daya tahannya biasanya paling bagus ya mba.. gila ini bisa pada sakit semuaaa.. ??,NEGATIF
